Value1,Value2,Value3,Value4,Value5
10.787878787878787, 10.790368271954675, 10.84959349593496, 10.889705882352942, 10.891891891891891
10.790606653620353, 10.780922431865829, 10.84085510688836, 10.82640144665461, 10.823076923076924
10.793189368770765, 10.640167364016737, 10.98898678414097, 10.77521613832853, 11.026490066225165
10.847014925373134, 10.817316017316017, 10.813559322033898, 10.819787985865725, 10.752837326607818
10.675039246467819, 10.888613861386139, 10.864233576642336, 10.809116809116809, 10.824324324324325
10.827225130890053, 10.846820809248555, 10.732558139534884, 10.848082595870206, 10.790996784565916
10.838235294117647, 10.844690966719494, 10.889830508474576, 10.702380952380953, 10.73404255319149
10.837164750957854, 10.799043062200957, 10.847572815533981, 10.652830188679244, 10.79750346740638
10.875326939843069, 10.804177545691905, 10.75206611570248, 10.78930817610063, 10.735177865612648
10.821301775147928, 10.810344827586206, 10.807588075880759, 10.80625, 10.781818181818181
